Latitude	Longitude	Day of year	Export flux	PP	export ratio	Depth	% nitrate remaining	Si:N ratio	% microplankton	% nanoplankton	% picoplankton	log(mesozooplankton biomass)	log(bacteria abundance)	log(macrozooplankton abundance)	Reference	DOI
0	-125	269	18.91	1975.8	0.01	100	53.011	0.706	0.271	0.495	0.234	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-1	-125	268	38.22	1933.8	0.02	100	52.652	0.574	0.268	0.494	0.238	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-2	-125	267	47.94	1776.2	0.027	100	70.138	0.597	0.25	0.487	0.263	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-5	-125	266	34.85	1519.4	0.023	100	62.319	0.385	0.219	0.476	0.305	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-8	-125	264	23.27	1466.1	0.016	100	59.291	0.632	0.215	0.474	0.312	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-10	-125	263	14.43	1302.1	0.011	100	57.835	0.964	0.208	0.473	0.319	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
10	-110	290	39.19	1079.7	0.036	100	6.568	0.3	0.195	0.479	0.326	0.851	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
8	-110	304	35.33	941.21	0.038	100	10.714	0.549	0.184	0.476	0.34	1.42	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
5	-110	305	59.07	1141.1	0.052	100	50.803	1.809	0.213	0.483	0.304	1.705	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
2	-110	307	34.96	1575.2	0.022	100	67.921	0	0.261	0.496	0.243	1.09	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
1	-110	307	46.26	1678.7	0.028	100	52.613	0.332	0.272	0.497	0.231	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
0	-110	308	25.7	1686.3	0.015	100	74.719	0	0.275	0.498	0.226	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-1	-110	310	6.55	1698.5	0.004	100	59.688	0.116	0.271	0.498	0.231	1.594	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-2	-110	311	53.39	1547.9	0.034	100	60.876	0.53	0.253	0.491	0.256	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-5	-110	312	24.61	1418.1	0.017	100	71.48	0.609	0.225	0.479	0.295	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-8	-110	313	39.63	1464.1	0.027	100	94.63	2.927	0.23	0.481	0.289	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
-10	-110	314	43.62	1361.6	0.032	100	99.334	38.116	0.216	0.477	0.308	NaN	NaN	NaN	Buesseler et al. 1995	https://doi.org/10.1016/0967-0645(95)00043-P
11.98	-140.08	35	22.08	996.93	0.022	100	90.375	0	0.194	0.479	0.327	NaN	22.12	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
9.01	-140.09	38	38.76	1120.3	0.035	100	96.617	0	0.195	0.481	0.324	NaN	22.134	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
7.06	-140.02	41	29.52	1281.2	0.023	100	89.185	0	0.207	0.486	0.307	NaN	22.248	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
5.05	-140.02	43	33.84	1337.2	0.025	100	100	NaN	0.216	0.485	0.299	NaN	22.342	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
3.01	-139.99	46	24.84	1415.3	0.018	100	68.174	0.657	0.218	0.48	0.303	NaN	22.397	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
2.08	-139.92	48	23.76	1456.7	0.016	100	61.838	0.547	0.226	0.481	0.292	NaN	22.322	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
1.13	-140.05	51	36.48	1577.2	0.023	100	43.326	0.37	0.236	0.484	0.28	NaN	22.315	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
0	-140.06	54	72.36	1748.6	0.041	100	47.264	0.412	0.25	0.49	0.26	NaN	22.264	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
-1.02	-140.16	58	69.24	1620.8	0.043	100	31.774	0.277	0.243	0.486	0.271	NaN	22.239	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
-2.02	-140.13	60	25.8	1505.4	0.017	100	48.378	0.156	0.218	0.479	0.303	NaN	22.33	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
-5.05	-140	63	30	1376.4	0.022	100	46.948	0.241	0.206	0.477	0.317	NaN	22.422	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
-12.03	-135	67	52.56	1184.9	0.044	100	13.256	0.707	0.187	0.474	0.339	NaN	22.204	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
12.01	-140.03	223	48	1022.6	0.047	100	74.452	16.572	0.189	0.475	0.336	NaN	22.109	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
8.97	-139.97	226	46.32	981.91	0.047	100	11.374	1.543	0.194	0.479	0.326	NaN	22.134	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
7.01	-139.91	229	59.4	1443	0.041	100	5.964	0.745	0.218	0.487	0.295	1.646	22.248	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
5.01	-139.83	231	101.52	1637.5	0.062	100	15.557	0.153	0.238	0.491	0.271	0.766	22.342	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
2.9	-140.21	234	88.8	1752.4	0.051	100	68.398	1.212	0.243	0.488	0.269	NaN	22.322	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
2.12	-140.24	237	220.2	1823.9	0.121	100	68.398	1.212	0.259	0.485	0.256	NaN	22.322	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
1.14	-140.01	239	163.92	1879.2	0.087	100	76.515	1.182	0.279	0.484	0.236	NaN	22.315	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
0.21	-139.9	241	113.76	2047.5	0.056	100	100	NaN	0.301	0.488	0.211	NaN	22.256	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
-2.19	-140.16	246	48.6	1644.4	0.03	100	49.439	0.18	0.239	0.484	0.277	NaN	22.33	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
-3.22	-140.26	249	77.04	1554.3	0.05	100	50.458	0.156	0.227	0.479	0.295	NaN	22.345	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
-5.11	-140	251	115.32	1518.9	0.076	100	56.609	0.239	0.218	0.476	0.306	NaN	22.422	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
-11.93	-134.95	256	39.6	1153.1	0.034	100	18.939	0.746	0.194	0.467	0.339	NaN	22.204	NaN	Murray et al. 1996	https://doi.org/10.1016/0967-0645(96)00036-7
-2.53	-84	159	176	2235.9	0.079	80	100	NaN	0.353	0.471	0.177	NaN	NaN	-3.214	Murray et al. 1989	https://doi.org/10.1016/0198-0149(89)90052-6
-0.92	-87.5	162	210	1971.6	0.107	80	100	NaN	0.33	0.485	0.185	NaN	NaN	NaN	Murray et al. 1989	https://doi.org/10.1016/0198-0149(89)90052-6
2.78	-86	169	208	1464.8	0.142	80	100	NaN	0.261	0.506	0.233	NaN	NaN	NaN	Murray et al. 1989	https://doi.org/10.1016/0198-0149(89)90052-6
4.44	-85	172	185	1427.5	0.13	80	56.503	1.391	0.255	0.505	0.24	NaN	NaN	NaN	Murray et al. 1989	https://doi.org/10.1016/0198-0149(89)90052-6
6.02	110	319	73.2	1060	0.069	100	14.016	9.777	0.354	0.464	0.181	-1.106	NaN	-6.895	Cai et al. 2001	https://doi.org/10.1007/BF02900660
-47.5	-6	314	336.52	773.66	0.435	100	72.938	1.94	0.252	0.511	0.237	NaN	NaN	NaN	Rutgers van der Loeff et al. 1997	https://doi.org/10.1016/S0967-0645(96)00067-7
-49	-6	302	165	603.95	0.273	100	85.516	1.543	0.259	0.507	0.234	NaN	NaN	NaN	Rutgers van der Loeff et al. 1997	https://doi.org/10.1016/S0967-0645(96)00067-7
-49	-6	313	185.45	813.45	0.228	100	81.911	2.616	0.259	0.507	0.234	NaN	NaN	NaN	Rutgers van der Loeff et al. 1997	https://doi.org/10.1016/S0967-0645(96)00067-7
-51	-6	311	182.86	465.84	0.393	100	79.803	1.853	0.224	0.511	0.265	NaN	NaN	NaN	Rutgers van der Loeff et al. 1997	https://doi.org/10.1016/S0967-0645(96)00067-7
-53	-6	294	16.36	421.24	0.039	100	100	NaN	0.193	0.504	0.303	NaN	NaN	NaN	Rutgers van der Loeff et al. 1997	https://doi.org/10.1016/S0967-0645(96)00067-7
-53	-6	310	128.57	418.99	0.307	100	86.865	0.98	0.193	0.504	0.303	NaN	NaN	NaN	Rutgers van der Loeff et al. 1997	https://doi.org/10.1016/S0967-0645(96)00067-7
-55	-6	293	0	0	NaN	100	94.591	2.96	0.189	0.517	0.294	NaN	NaN	NaN	Rutgers van der Loeff et al. 1997	https://doi.org/10.1016/S0967-0645(96)00067-7
-55	-6	305	141	177.15	0.796	100	81.318	1.679	0.189	0.517	0.294	NaN	NaN	NaN	Rutgers van der Loeff et al. 1997	https://doi.org/10.1016/S0967-0645(96)00067-7
NaN	-6	290	180	0	NaN	100	91.886	5.01	0.198	0.521	0.28	NaN	NaN	NaN	Rutgers van der Loeff et al. 1997	https://doi.org/10.1016/S0967-0645(96)00067-7
NaN	-6	307	17.14	0	NaN	100	76.486	2.492	0.198	0.521	0.28	NaN	NaN	NaN	Rutgers van der Loeff et al. 1997	https://doi.org/10.1016/S0967-0645(96)00067-7
36.1	-74.7	135	56.38	1811.8	0.031	100	3.571	0.236	0.479	0.386	0.136	4.355	NaN	NaN	Santschi et al. 1999	https://doi.org/10.1016/S0278-4343(98)00103-4
36.1	-74.8	135	69.83	1811.8	0.039	100	3.571	0.236	0.479	0.386	0.136	4.355	NaN	NaN	Santschi et al. 1999	https://doi.org/10.1016/S0278-4343(98)00103-4
36.1	-74.9	135	82.09	1811.8	0.045	100	3.571	0.236	0.479	0.386	0.136	4.355	NaN	NaN	Santschi et al. 1999	https://doi.org/10.1016/S0278-4343(98)00103-4
36.1	-74.7	196	49.32	1647.4	0.03	100	6.996	0.092	0.328	0.482	0.19	4.159	NaN	NaN	Santschi et al. 1999	https://doi.org/10.1016/S0278-4343(98)00103-4
36.1	-74.8	196	55.78	1647.4	0.034	100	6.996	0.092	0.328	0.482	0.19	4.159	NaN	NaN	Santschi et al. 1999	https://doi.org/10.1016/S0278-4343(98)00103-4
36.1	-74.3	196	74.67	1647.4	0.045	100	6.996	0.092	0.328	0.482	0.19	4.159	NaN	NaN	Santschi et al. 1999	https://doi.org/10.1016/S0278-4343(98)00103-4
36.2	-74.1	196	45.8	1647.4	0.028	100	6.996	0.092	0.328	0.482	0.19	4.159	NaN	NaN	Santschi et al. 1999	https://doi.org/10.1016/S0278-4343(98)00103-4
49.02	-16.47	194	27.06	2120.8	0.013	150	2.055	0.354	0.406	0.434	0.16	NaN	NaN	-4.748	Le Moigne et al. 2013	https://doi.org/10.1016/j.dsr.2012.10.010
48.97	-16.4	197	54.74	2069.2	0.026	150	1.333	0.354	0.39	0.442	0.168	NaN	NaN	NaN	Le Moigne et al. 2013	https://doi.org/10.1016/j.dsr.2012.10.010
48.54	-17.1	201	119.4	1973.6	0.06	150	1.715	0.373	0.386	0.446	0.167	NaN	22.228	NaN	Le Moigne et al. 2013	https://doi.org/10.1016/j.dsr.2012.10.010
49.07	-16.63	204	203.4	2059.3	0.099	150	2.055	0.354	0.406	0.434	0.16	NaN	NaN	-4.748	Le Moigne et al. 2013	https://doi.org/10.1016/j.dsr.2012.10.010
48.91	-16.07	205	117.33	1878.5	0.062	150	1.333	0.354	0.39	0.442	0.168	NaN	NaN	NaN	Le Moigne et al. 2013	https://doi.org/10.1016/j.dsr.2012.10.010
48.98	-16.93	210	88.82	1812.9	0.049	150	1.333	0.354	0.39	0.442	0.168	NaN	NaN	NaN	Le Moigne et al. 2013	https://doi.org/10.1016/j.dsr.2012.10.010
48.81	-16.51	212	111.35	1812.9	0.061	150	1.333	0.354	0.39	0.442	0.168	NaN	NaN	NaN	Le Moigne et al. 2013	https://doi.org/10.1016/j.dsr.2012.10.010
48.97	-16.42	215	58.45	1812.9	0.032	150	0.769	0.335	0.39	0.442	0.168	NaN	NaN	NaN	Le Moigne et al. 2013	https://doi.org/10.1016/j.dsr.2012.10.010
48.91	-16.54	218	23.33	1690.2	0.014	150	0.769	0.335	0.39	0.442	0.168	NaN	NaN	NaN	Le Moigne et al. 2013	https://doi.org/10.1016/j.dsr.2012.10.010
48.78	-16.99	220	95.7	1690.2	0.057	150	0.769	0.335	0.39	0.442	0.168	NaN	NaN	NaN	Le Moigne et al. 2013	https://doi.org/10.1016/j.dsr.2012.10.010
60.58	-34.58	121	354.4	802.34	0.442	150	38.985	0.76	0.253	0.514	0.233	NaN	NaN	NaN	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
60.01	-34.57	122	457.17	802.34	0.57	150	38.985	0.76	0.253	0.514	0.233	NaN	NaN	NaN	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
60	-31.58	123	109.45	910.33	0.12	150	35.213	0.661	0.254	0.512	0.235	NaN	NaN	-5.399	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
59.59	-28.58	124	206.98	1161.9	0.178	150	38.061	0.673	0.261	0.499	0.24	NaN	NaN	-7.308	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
59.56	-26.07	125	166.39	1307	0.127	150	33.117	0.586	0.232	0.536	0.232	NaN	NaN	-6.541	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
60.5	-21.45	126	270.26	1235.4	0.219	150	27.969	0.48	0.271	0.494	0.235	1.559	21.843	-6.215	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
61.59	-19.59	127	386.8	1137.2	0.34	150	27.778	0.537	0.277	0.492	0.231	NaN	22.004	NaN	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
61.47	-21.04	194	129.75	1976	0.066	150	8.727	0.508	0.489	0.388	0.123	NaN	22.004	NaN	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
59.59	-23.37	196	161.18	1684.2	0.096	150	9.653	0.508	0.426	0.427	0.147	NaN	NaN	NaN	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
60	-34.59	198	260.78	1757.4	0.148	150	13.638	0.704	0.38	0.463	0.157	2.152	NaN	-4.768	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
59.54	-41.25	200	144.67	1216.1	0.119	150	9.847	0.639	0.413	0.441	0.146	2.741	NaN	NaN	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
59.59	-34.59	202	359.03	1745.1	0.206	150	14.207	0.765	0.404	0.445	0.15	2.152	NaN	-4.768	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
62.59	-35	203	113.01	1492.5	0.076	150	9.194	0.577	0.396	0.452	0.151	NaN	NaN	NaN	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
62.59	-29.49	205	228.62	1845.9	0.124	150	11.039	0.55	0.409	0.443	0.148	NaN	NaN	NaN	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
58.13	-35.07	207	135.8	1706.6	0.08	150	14.021	0.763	0.402	0.448	0.151	1.563	NaN	-7.494	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
63.49	-35.05	211	148.45	1387.1	0.107	150	7.634	0.546	0.436	0.425	0.139	NaN	NaN	NaN	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
63.49	-34.59	213	346.05	1442.4	0.24	150	6.489	0.546	0.426	0.432	0.142	2.892	NaN	NaN	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
62.02	-24.2	215	182.59	1634.4	0.112	150	4.69	0.519	0.469	0.4	0.131	NaN	NaN	NaN	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
61.13	-20.46	216	103.81	1633.9	0.064	150	7.574	0.485	0.478	0.395	0.127	NaN	22.004	NaN	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
61.19	-20.57	219	97.85	1850.3	0.053	150	7.574	0.485	0.478	0.395	0.127	NaN	22.004	NaN	Le Moigne et al. 2012	https://doi.org/10.1029/2012GL052980
30.458	-64.893	176	26.4	752.45	0.035	150	3.336	3.062	0.178	0.491	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
31.219	-64.082	177	49.2	811.57	0.061	150	3.746	2.471	0.183	0.483	0.334	NaN	21.827	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.86	-64.503	177	58.8	768.9	0.076	150	3.336	3.062	0.178	0.491	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.681	-64.713	178	62.4	768.9	0.081	150	3.336	3.062	0.178	0.491	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.5	-64.923	178	55.2	768.9	0.072	150	3.336	3.062	0.178	0.491	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.321	-65.128	178	57.6	757.22	0.076	150	2.147	1.617	0.18	0.49	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.146	-65.337	178	66	757.22	0.087	150	2.147	1.617	0.18	0.49	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
29.779	-65.76	179	62.4	703.69	0.089	150	2.142	1.26	0.177	0.494	0.329	NaN	21.879	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.163	-65.341	179	63.6	757.22	0.084	150	2.147	1.617	0.18	0.49	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.323	-65.132	179	45.6	757.22	0.06	150	2.147	1.617	0.18	0.49	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.681	-64.711	179	36	768.9	0.047	150	3.336	3.062	0.178	0.491	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.861	-64.502	180	51.6	768.9	0.067	150	3.336	3.062	0.178	0.491	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
31.218	-64.084	180	39.6	811.57	0.049	150	3.746	2.471	0.183	0.483	0.334	NaN	21.827	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.5	-64.92	181	7.2	768.9	0.009	150	3.336	3.062	0.178	0.491	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
29.959	-65.551	182	36	703.69	0.051	150	2.142	1.26	0.177	0.494	0.329	NaN	21.879	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
29.783	-66.178	182	74.4	708.23	0.105	150	1.795	0.947	0.176	0.495	0.33	NaN	21.888	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.494	-65.129	184	84	757.22	0.111	150	15.28	2.035	0.18	0.49	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
31.667	-64.164	215	20.4	751.28	0.027	150	3.421	2.414	0.183	0.483	0.334	NaN	21.827	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.667	-65.547	217	27.6	674.76	0.041	150	10.377	1.772	0.18	0.49	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.682	-65.335	217	18	674.76	0.027	150	10.377	1.772	0.18	0.49	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.679	-65.751	217	26.4	674.76	0.039	150	10.377	1.772	0.18	0.49	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.859	-65.762	217	18	674.76	0.027	150	10.377	1.772	0.18	0.49	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
31.04	-65.761	218	15.6	716.68	0.022	150	8.397	1.681	0.184	0.483	0.334	NaN	21.827	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
31.403	-65.763	218	24	716.68	0.033	150	8.397	1.681	0.184	0.483	0.334	NaN	21.827	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
31.761	-65.76	218	9.6	716.68	0.013	150	8.397	1.681	0.184	0.483	0.334	NaN	21.827	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.861	-65.762	219	31.2	674.76	0.046	150	10.377	1.772	0.18	0.49	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.331	-65.789	222	24	674.76	0.036	150	10.377	1.772	0.18	0.49	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.491	-65.765	222	6	674.76	0.009	150	10.377	1.772	0.18	0.49	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
31.669	-64.168	187	38.4	764.86	0.05	150	19.027	3.056	0.183	0.483	0.334	NaN	21.827	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.902	-66.289	188	16.8	727.82	0.023	150	15.17	1.539	0.181	0.488	0.331	NaN	21.81	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
31.065	-66.292	188	8.4	776.37	0.011	150	11.759	1.425	0.185	0.482	0.334	NaN	21.865	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.896	-66.285	189	13.2	727.82	0.018	150	15.17	1.539	0.181	0.488	0.331	NaN	21.81	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.901	-65.623	190	37.2	733.29	0.051	150	15.28	2.035	0.18	0.49	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.903	-65.873	190	15.6	733.29	0.021	150	15.28	2.035	0.18	0.49	0.331	NaN	21.787	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.902	-66.083	190	4.8	727.82	0.007	150	15.17	1.539	0.181	0.488	0.331	NaN	21.81	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.901	-66.497	191	7.2	727.82	0.01	150	15.17	1.539	0.181	0.488	0.331	NaN	21.81	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.903	-66.705	191	18	727.82	0.025	150	15.17	1.539	0.181	0.488	0.331	NaN	21.81	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.902	-67.116	191	18	718.98	0.025	150	18.528	1.288	0.181	0.488	0.331	NaN	22.031	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
31.083	-66.494	192	24	776.37	0.031	150	11.759	1.425	0.185	0.482	0.334	NaN	21.865	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
31.311	-66.495	192	22.8	776.37	0.029	150	11.759	1.425	0.185	0.482	0.334	NaN	21.865	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
31.623	-66.502	193	14.4	718.63	0.02	150	11.759	1.425	0.185	0.482	0.334	NaN	21.865	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.726	-66.497	193	8.4	682.76	0.012	150	15.17	1.539	0.181	0.488	0.331	NaN	21.81	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.632	-66.602	193	13.2	682.76	0.019	150	15.17	1.539	0.181	0.488	0.331	NaN	21.81	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.186	-66.502	194	13.2	682.76	0.019	150	15.17	1.539	0.181	0.488	0.331	NaN	21.81	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.538	-66.493	195	14.4	682.76	0.021	150	15.17	1.539	0.181	0.488	0.331	NaN	21.81	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.721	-66.705	195	18	682.76	0.026	150	15.17	1.539	0.181	0.488	0.331	NaN	21.81	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.181	-68.643	199	16.8	703.07	0.024	150	59.13	2.135	0.183	0.486	0.332	0.487	NaN	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.184	-68.674	200	15.6	703.07	0.022	150	59.13	2.135	0.183	0.486	0.332	0.487	NaN	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.18	-68.576	201	14.4	696.35	0.021	150	59.13	2.135	0.183	0.486	0.332	0.487	NaN	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.179	-69.409	201	27.6	710.13	0.039	150	94.009	14.434	0.184	0.484	0.333	0.631	NaN	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.18	-68.993	201	22.8	696.35	0.033	150	59.13	2.135	0.183	0.486	0.332	0.487	NaN	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.18	-68.785	202	25.2	696.35	0.036	150	59.13	2.135	0.183	0.486	0.332	0.487	NaN	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.179	-68.368	202	12	696.35	0.017	150	59.13	2.135	0.183	0.486	0.332	0.487	NaN	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.178	-68.155	202	25.2	696.35	0.036	150	59.13	2.135	0.183	0.486	0.332	0.487	NaN	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
30.178	-67.75	203	20.4	692.78	0.029	150	36.363	1.359	0.181	0.488	0.331	NaN	22.031	NaN	Buesseler et al. 2008	https://doi.org/10.1016/j.dsr2.2008.02.007
